date,q_total,q_market,q_mining,q_nonmining_market,q_pubadm,q_edu,q_health,q_dwellings
2010-12-01,450409.0,329548.0,44958.0,284590.0,24078.0,24054.0,27810.0,44919.0
2011-03-01,450899.0,328958.0,43754.0,285204.0,24302.0,24155.0,28325.0,45159.0
2011-06-01,457472.0,334987.0,45478.0,289509.0,24494.0,24295.0,28346.0,45350.0
2011-09-01,464184.0,341005.0,46892.0,294113.0,24653.0,24460.0,28584.0,45482.0
2011-12-01,466703.0,342825.0,48209.0,294616.0,25112.0,24565.0,28551.0,45650.0
2012-03-01,473137.0,348502.0,48419.0,300083.0,25423.0,24660.0,28731.0,45821.0
2012-06-01,475495.0,350450.0,49692.0,300758.0,24894.0,24743.0,29415.0,45993.0
2012-09-01,478368.0,352913.0,51736.0,301177.0,24706.0,24819.0,29788.0,46142.0
2012-12-01,482270.0,355747.0,52928.0,302819.0,25317.0,24889.0,30006.0,46311.0
2013-03-01,483243.0,355998.0,52676.0,303322.0,25572.0,24975.0,30210.0,46488.0
2013-06-01,486818.0,358925.0,54173.0,304752.0,25743.0,25077.0,30402.0,46671.0
2013-09-01,490586.0,361574.0,56207.0,305367.0,26032.0,25260.0,30874.0,46846.0
2013-12-01,494406.0,364372.0,56988.0,307384.0,26267.0,25427.0,31347.0,46993.0
2014-03-01,497572.0,367041.0,59853.0,307188.0,25806.0,25586.0,32025.0,47114.0
2014-06-01,501253.0,369951.0,60544.0,309407.0,26090.0,25738.0,32268.0,47206.0
2014-09-01,502338.0,370918.0,62758.0,308160.0,25779.0,25813.0,32549.0,47279.0
2014-12-01,505126.0,372350.0,62962.0,309388.0,26298.0,25986.0,33101.0,47391.0
2015-03-01,509577.0,376553.0,63365.0,313188.0,26134.0,26176.0,33145.0,47569.0
2015-06-01,512187.0,377964.0,62195.0,315769.0,26449.0,26380.0,33581.0,47813.0
2015-09-01,515451.0,380411.0,66567.0,313844.0,26448.0,26584.0,33914.0,48094.0
2015-12-01,518271.0,382148.0,66206.0,315942.0,27005.0,26713.0,33948.0,48457.0
2016-03-01,521751.0,384218.0,67947.0,316271.0,27803.0,26814.0,33999.0,48917.0
2016-06-01,525634.0,387071.0,66473.0,320598.0,27475.0,26885.0,34730.0,49473.0
2016-09-01,525139.0,385682.0,66502.0,319180.0,27049.0,26962.0,35315.0,50131.0
2016-12-01,531067.0,390267.0,67709.0,322558.0,27492.0,27019.0,35625.0,50664.0
2017-03-01,534970.0,393249.0,67429.0,325820.0,27455.0,27089.0,36112.0,51065.0
2017-06-01,538335.0,396053.0,68102.0,327951.0,27383.0,27173.0,36390.0,51336.0
2017-09-01,543226.0,399988.0,68599.0,331389.0,27337.0,27273.0,37153.0,51475.0
2017-12-01,543916.0,399613.0,69511.0,330102.0,27602.0,27405.0,37631.0,51665.0
2018-03-01,549920.0,403969.0,72554.0,331415.0,28018.0,27550.0,38483.0,51900.0
2018-06-01,556078.0,409146.0,72348.0,336798.0,28250.0,27709.0,38786.0,52187.0
2018-09-01,557575.0,408892.0,72373.0,336519.0,28367.0,27967.0,39799.0,52550.0
2018-12-01,558837.0,408403.0,73649.0,334754.0,28935.0,28141.0,40483.0,52875.0
2019-03-01,562669.0,411071.0,74810.0,336261.0,28899.0,28240.0,41268.0,53191.0
2019-06-01,566472.0,413249.0,75920.0,337329.0,29442.0,28264.0,42016.0,53501.0
2019-09-01,570332.0,415528.0,77642.0,337886.0,29697.0,28278.0,43024.0,53805.0
