DATAFLOW,MEASURE,DATA_ITEM,EXP_IMP,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2002-Q2,11927,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2002-Q3,12020,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2002-Q4,12460,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2003-Q1,12875,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2003-Q2,12670,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2003-Q3,12673,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2003-Q4,13328,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2004-Q1,12685,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2004-Q2,13612,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2004-Q3,13531,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2004-Q4,13936,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2005-Q1,13919,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2005-Q2,14584,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2005-Q3,13896,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2005-Q4,13583,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2006-Q1,13396,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2006-Q2,14226,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2006-Q3,14793,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2006-Q4,14521,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2007-Q1,14848,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2007-Q2,15188,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2007-Q3,15488,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2007-Q4,15886,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2008-Q1,14232,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2008-Q2,17429,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2008-Q3,17685,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2008-Q4,16797,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2009-Q1,14063,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2009-Q2,17396,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2009-Q3,19425,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2009-Q4,19827,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2010-Q1,17576,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2010-Q2,21550,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2010-Q3,20954,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2010-Q4,20655,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2011-Q1,14885,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2011-Q2,18010,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2011-Q3,19508,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2011-Q4,20253,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2012-Q1,18522,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2012-Q2,19696,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2012-Q3,19845,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2012-Q4,21136,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2013-Q1,20300,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2013-Q2,23827,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2013-Q3,23535,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2013-Q4,26077,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2014-Q1,23731,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2014-Q2,25020,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2014-Q3,26236,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2014-Q4,27592,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2015-Q1,26007,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2015-Q2,24858,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2015-Q3,26189,AUD,6,,
ABS:BOP_GOODS(1.0.0),2,1450,EXP,10,Q,2015-Q4,25746,AUD,6,,
