DATAFLOW,MEASURE,ASGS_2016,LABOURACCT_IND,TSEST,FREQ,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,OBS_COMMENT,DECIMALS
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2011-Q1,146.960603658252,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2011-Q2,153.508649677981,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2011-Q3,162.529373784342,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2011-Q4,170.106966643894,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2012-Q1,184.915865770529,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2012-Q2,186.463216515443,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2012-Q3,193.638454578199,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2012-Q4,194.021905707798,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2013-Q1,183.500656922813,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2013-Q2,188.807401176775,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2013-Q3,190.777787363185,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2013-Q4,186.335385937017,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2014-Q1,189.506228553001,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2014-Q2,186.149775962905,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2014-Q3,179.859165545109,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2014-Q4,180.69661269534,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2015-Q1,177.45826398965,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2015-Q2,175.977887913983,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2015-Q3,172.204284795807,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2015-Q4,171.450713345795,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2016-Q1,165.532463228429,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2016-Q2,164.463816324886,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2016-Q3,158.220245311141,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2016-Q4,155.097073268021,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2017-Q1,156.379076421886,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2017-Q2,158.498161506183,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2017-Q3,164.365744457207,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2017-Q4,167.026120726827,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2018-Q1,174.760136737043,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2018-Q2,170.733213829148,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2018-Q3,171.761782110328,NUM,3,,,1
ABS:LABOUR_ACCT_Q(1.1),M19,AUS,B,20,Q,2018-Q4,174.224947917452,NUM,3,,,1
